year	pubAll	pubStrongD_speciesAll	pubWeakD_speciesAll	pubStrongD_speciesMusMusculus	pubWeakD_speciesMusMusculus	pubStrongD_speciesHomoSapiens	pubWeakD_speciesHomoSapiens	pubStrongD_speciesMusMusculusHomoSapiens	pubWeakD_speciesMusMusculusHomoSapiens	pubSame_speciesAll	pubDiff_speciesAll	pubSame_speciesMusMusculus	pubDiff_speciesMusMusculus	pubSame_speciesHomoSapiens	pubDiff_speciesHomoSapiens	pubSame_speciesMusMusculusHomoSapiens	pubDiff_speciesMusMusculusHomoSapiens	pubWithGene_MusMusculus	pubWithGene_HomoSapiens	pubWithGene_MusMusculusHomoSapiens
1972	227742	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1973	231008	0	2	0	0	0	1	0	1	2	0	0	0	1	0	1	0	0	1	1
1974	235137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1975	249059	9	7	0	0	5	5	5	5	4	8	0	0	2	4	2	4	0	10	10
1976	254935	13	8	0	0	4	5	4	5	1	8	0	0	0	3	0	3	0	9	9
1977	262175	10	9	0	1	6	5	6	6	2	8	0	0	1	4	1	4	1	11	12
1978	272367	8	11	0	0	3	7	3	7	7	8	0	0	3	3	3	3	0	10	10
1979	281962	6	10	0	2	4	4	4	6	2	6	0	1	1	3	1	4	2	8	10
1980	280521	8	16	0	2	4	9	4	11	9	8	1	1	5	3	6	4	2	13	15
1981	283391	12	14	0	0	3	5	3	5	13	11	0	0	5	3	5	3	0	8	8
1982	295422	4	20	0	3	2	14	2	17	11	4	2	0	6	2	8	2	3	16	19
1983	309280	9	35	0	2	2	21	2	23	30	9	2	0	16	4	18	4	2	23	25
1984	318183	7	53	0	3	4	29	4	32	30	9	1	2	16	4	17	6	3	33	36
1985	335028	11	48	1	6	6	27	7	33	34	10	2	2	19	4	21	6	7	33	40
1986	349315	10	68	0	8	7	28	7	36	44	9	2	4	21	2	23	6	8	35	43
1987	367588	17	80	0	5	5	40	5	45	56	14	3	0	31	3	34	3	5	45	50
1988	386767	18	96	0	5	11	53	11	58	66	14	3	0	39	6	42	6	5	64	69
1989	402331	12	158	1	6	10	105	11	111	106	20	2	0	72	9	74	9	7	115	122
1990	410258	24	193	1	8	13	129	14	137	106	17	3	0	68	5	71	5	9	142	151
1991	412842	25	188	3	10	17	123	20	133	96	25	4	4	65	5	69	9	13	140	153
1992	417625	36	204	2	5	30	141	32	146	135	14	1	2	96	8	97	10	7	171	178
1993	426213	51	226	3	13	43	148	46	161	139	23	4	5	98	7	102	12	16	191	207
1994	437907	70	239	5	11	50	154	55	165	163	15	5	1	104	7	109	8	16	204	220
1995	448342	93	272	9	15	68	154	77	169	182	26	8	4	108	10	116	14	24	222	246
1996	458013	93	333	17	36	65	200	82	236	207	27	14	4	132	15	146	19	53	265	318
1997	449087	95	364	12	30	65	209	77	239	250	37	17	8	150	15	167	23	42	274	316
1998	470863	111	413	18	46	75	251	93	297	278	44	24	10	186	24	210	34	64	326	390
1999	488176	132	372	31	25	76	223	107	248	259	42	15	7	156	23	171	30	56	299	355
2000	526346	148	447	19	46	107	269	126	315	297	48	18	7	208	22	226	29	65	376	441
2001	541272	151	482	23	63	102	308	125	371	322	55	33	9	224	28	257	37	86	410	496
2002	567544	162	619	33	86	110	376	143	462	383	70	40	17	259	31	299	48	119	486	605
2003	586170	164	656	35	90	101	415	136	505	379	73	54	11	253	44	307	55	125	516	641
2004	620757	171	680	36	96	116	411	152	507	431	63	63	7	275	37	338	44	132	527	659
2005	656987	193	689	29	108	138	405	167	513	403	80	53	17	269	48	322	65	137	543	680
2006	687282	229	778	47	119	159	484	206	603	440	115	70	19	295	77	365	96	166	643	809
2007	712625	222	804	57	180	137	448	194	628	448	118	102	21	261	71	363	92	237	585	822
2008	751436	376	1226	112	292	215	686	327	978	729	205	184	47	419	117	603	164	404	901	1305
2009	785315	538	1832	155	453	333	1056	488	1509	1123	299	303	73	660	181	963	254	608	1389	1997
2010	833422	721	2201	209	574	426	1252	635	1826	1336	400	372	94	769	242	1141	336	783	1678	2461
2011	877401	811	2516	253	653	463	1374	716	2027	1486	444	429	99	806	268	1235	367	906	1837	2743
2012	940900	981	3016	270	801	575	1641	845	2442	1813	523	506	127	994	308	1500	435	1071	2216	3287
2013	996632	1143	3810	326	1036	681	2143	1007	3179	2212	721	619	173	1274	434	1893	607	1362	2824	4186
2014	1044260	1050	3896	273	1114	673	2065	946	3179	2318	698	697	163	1242	413	1939	576	1387	2738	4125
2015	1087259	1300	4418	363	1086	774	2505	1137	3591	2638	827	689	181	1502	492	2191	673	1449	3279	4728
2016	1113943	1073	4017	280	1089	681	2217	961	3306	2428	722	683	161	1368	440	2051	601	1369	2898	4267
2017	1123788	610	1947	158	476	364	1147	522	1623	1202	376	293	86	719	231	1012	317	634	1511	2145
2018	1170812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	1311209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	18465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
